               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.021229,            0.008521,            0.005378,             0.97233,             0.98162,             0.98962,              0.7328,            0.014202,           0.0059413,           0.0013453,           0.0092995,           0.0092995,           0.0092995
                 110,            0.021206,           0.0083634,           0.0058429,             0.96774,             0.96912,             0.98563,             0.72753,            0.014294,           0.0059118,           0.0018983,           0.0092868,           0.0092868,           0.0092868
                 111,            0.021804,           0.0085558,           0.0055827,             0.95258,             0.98059,             0.98636,             0.72105,            0.014583,           0.0059488,           0.0018261,            0.009274,            0.009274,            0.009274
                 112,            0.021714,           0.0084358,           0.0055264,             0.97674,             0.93437,             0.98067,              0.7271,            0.013894,           0.0057853,           0.0022072,           0.0092611,           0.0092611,           0.0092611
                 113,            0.021573,           0.0084676,           0.0048763,              0.9775,             0.97272,             0.98884,             0.72967,            0.014167,           0.0059354,           0.0018629,           0.0092481,           0.0092481,           0.0092481
                 114,            0.021332,           0.0086316,           0.0046184,             0.97515,             0.93101,             0.97942,              0.7292,            0.014124,           0.0058485,           0.0024377,           0.0092351,           0.0092351,           0.0092351
                 115,            0.021277,           0.0086758,           0.0050732,             0.97691,              0.9688,             0.98938,              0.7245,            0.014636,           0.0060126,           0.0015175,           0.0092219,           0.0092219,           0.0092219
                 116,            0.020746,           0.0083646,           0.0046505,             0.96816,             0.98967,             0.98801,             0.73435,            0.013828,           0.0058384,           0.0013634,           0.0092086,           0.0092086,           0.0092086
                 117,              0.0214,           0.0085565,           0.0049705,             0.96987,             0.97092,             0.98416,             0.72539,            0.014365,           0.0059723,           0.0017327,           0.0091952,           0.0091952,           0.0091952
                 118,            0.021451,           0.0085931,           0.0045256,             0.95237,             0.99282,             0.98978,              0.7383,            0.014189,           0.0058374,           0.0013535,           0.0091817,           0.0091817,           0.0091817
                 119,            0.021254,           0.0085456,           0.0051036,             0.97441,              0.9789,              0.9908,             0.73505,            0.013904,           0.0058494,           0.0014438,           0.0091681,           0.0091681,           0.0091681
                 120,             0.02167,            0.008311,           0.0059431,             0.94874,             0.98059,             0.98704,             0.73983,            0.014124,           0.0058628,           0.0022363,           0.0091544,           0.0091544,           0.0091544
                 121,            0.021565,           0.0085966,           0.0050474,              0.9493,              0.9756,             0.98299,              0.7308,            0.014042,           0.0058457,             0.00213,           0.0091406,           0.0091406,           0.0091406
                 122,             0.02085,           0.0084394,           0.0045798,             0.97823,             0.96304,              0.9897,             0.73286,            0.014217,           0.0059026,           0.0016608,           0.0091267,           0.0091267,           0.0091267
                 123,            0.021154,           0.0086181,           0.0055355,             0.98351,             0.98149,             0.99224,             0.74124,            0.014112,           0.0058593,           0.0011815,           0.0091127,           0.0091127,           0.0091127
                 124,            0.021335,           0.0084715,           0.0050394,             0.97581,             0.97594,             0.99028,             0.73326,            0.014027,           0.0058297,           0.0014769,           0.0090986,           0.0090986,           0.0090986
                 125,            0.021327,           0.0080829,           0.0047458,             0.99563,               0.944,             0.98621,             0.74237,            0.013802,           0.0057894,            0.001673,           0.0090844,           0.0090844,           0.0090844
                 126,             0.02062,           0.0083469,           0.0045711,             0.96439,             0.98059,             0.98337,             0.72351,            0.014402,           0.0059035,           0.0016884,           0.0090701,           0.0090701,           0.0090701
                 127,            0.020872,           0.0083759,           0.0045628,             0.98561,             0.94194,             0.98506,             0.72889,            0.014041,           0.0058787,           0.0018534,           0.0090557,           0.0090557,           0.0090557
                 128,             0.02066,           0.0083902,           0.0048447,              0.9434,             0.97377,             0.97815,             0.72726,            0.014054,           0.0057922,           0.0023845,           0.0090412,           0.0090412,           0.0090412
                 129,            0.020687,           0.0083139,           0.0055391,             0.96123,             0.98412,             0.98576,              0.7222,            0.014397,           0.0057879,           0.0020101,           0.0090266,           0.0090266,           0.0090266
                 130,            0.020784,           0.0084194,           0.0048559,             0.97691,             0.96177,             0.98499,             0.72812,            0.014093,           0.0058562,           0.0019378,           0.0090119,           0.0090119,           0.0090119
                 131,            0.020603,           0.0082372,           0.0052256,             0.95333,             0.98336,             0.98489,             0.73493,            0.014251,            0.005896,           0.0018066,           0.0089972,           0.0089972,           0.0089972
                 132,            0.020532,           0.0082314,           0.0049498,             0.96512,                0.96,             0.97777,             0.72606,            0.014196,           0.0058344,           0.0022336,           0.0089823,           0.0089823,           0.0089823
                 133,             0.02062,           0.0083919,           0.0049071,             0.96072,             0.97097,             0.98499,             0.73953,            0.014225,            0.005776,           0.0018219,           0.0089673,           0.0089673,           0.0089673
                 134,            0.020723,           0.0083631,           0.0043255,             0.94668,             0.97345,             0.98149,             0.72728,            0.014367,           0.0059592,           0.0020705,           0.0089522,           0.0089522,           0.0089522
                 135,            0.021037,           0.0083731,           0.0044631,             0.95415,             0.97936,             0.98265,              0.7332,            0.013791,           0.0058023,           0.0017458,           0.0089371,           0.0089371,           0.0089371
                 136,            0.020563,            0.008317,           0.0048732,             0.95842,             0.95722,             0.97944,             0.73024,            0.013924,           0.0058175,           0.0020266,           0.0089218,           0.0089218,           0.0089218
                 137,            0.020685,           0.0082683,           0.0047591,             0.97537,              0.9495,             0.97915,             0.72392,            0.014094,           0.0058882,           0.0019676,           0.0089065,           0.0089065,           0.0089065
                 138,             0.02042,           0.0084477,           0.0047994,             0.95323,             0.98833,             0.98789,             0.74779,            0.014069,           0.0057669,           0.0015975,            0.008891,            0.008891,            0.008891
                 139,            0.020703,           0.0083276,            0.003883,             0.98394,             0.96772,              0.9887,             0.73887,            0.014058,           0.0058029,            0.001526,           0.0088755,           0.0088755,           0.0088755
                 140,            0.020185,           0.0082951,            0.005182,             0.98224,             0.95792,             0.98495,             0.73832,            0.013772,           0.0058023,           0.0018033,           0.0088599,           0.0088599,           0.0088599
                 141,            0.020233,           0.0081003,            0.004072,             0.95692,             0.97779,             0.98247,             0.73316,            0.013811,           0.0057344,           0.0019531,           0.0088442,           0.0088442,           0.0088442
                 142,            0.020382,           0.0082448,           0.0045432,             0.95218,             0.97464,             0.97663,             0.72327,            0.014066,           0.0058711,           0.0019672,           0.0088283,           0.0088283,           0.0088283
                 143,            0.020666,           0.0084499,           0.0047068,             0.95902,             0.98407,              0.9826,             0.73088,            0.013859,           0.0058007,           0.0020221,           0.0088124,           0.0088124,           0.0088124
                 144,             0.02027,           0.0085208,           0.0042649,              0.9688,             0.96645,             0.98519,             0.73562,            0.013993,           0.0057859,            0.001675,           0.0087964,           0.0087964,           0.0087964
                 145,            0.020434,           0.0081193,           0.0050623,              0.9392,              0.9867,             0.98317,             0.73159,            0.014083,            0.005764,           0.0020486,           0.0087804,           0.0087804,           0.0087804
                 146,            0.020074,           0.0082827,           0.0042361,             0.99422,             0.94901,             0.98868,             0.74107,              0.0138,           0.0058058,           0.0014363,           0.0087642,           0.0087642,           0.0087642
                 147,             0.02008,           0.0081975,           0.0044595,             0.96867,             0.97547,             0.98928,             0.72364,            0.014331,           0.0057906,           0.0014832,           0.0087479,           0.0087479,           0.0087479
